,ward_title,ward_id,complaint_count,complaint_acceptance_rate,complaint_resolution_rate,complaint_ignorance_rate,complaint_re_opening_rate,comments_per_complaint,effective_resolution_rate
0,A Narayanapura,56,102,0.4117647058823529,0.3137254901960784,0.0196078431372549,0.00980392156862745,1.0,0.761904761904762
1,Adugodi,147,16,0.4375,0.0625,0.125,0.0625,0.81,0.14285714285714285
2,Agaram,114,86,0.4883720930232558,0.313953488372093,0.023255813953488372,0.03488372093023256,1.12,0.6428571428571429
3,Agrahara Dasarahalli,105,15,0.3333333333333333,0.3333333333333333,0.0,0.0,0.87,1.0
4,Anjanapura,196,87,0.3793103448275862,0.25287356321839083,0.011494252873563218,0.011494252873563218,0.84,0.6666666666666667
5,Aramane Nagara,35,61,0.5409836065573771,0.45901639344262296,0.01639344262295082,0.0,1.39,0.8484848484848484
6,Arekere,193,188,0.39893617021276595,0.2553191489361702,0.02127659574468085,0.015957446808510637,0.91,0.64
7,Attiguppe,132,26,0.6538461538461539,0.46153846153846156,0.0,0.0,1.69,0.7058823529411765
8,Atturu,3,115,0.4,0.3130434782608696,0.0,0.008695652173913044,1.12,0.782608695652174
9,Azad Nagar,141,10,0.1,0.0,0.0,0.0,0.4,0.0
10,BTM Layout,176,205,0.47317073170731705,0.35121951219512193,0.03902439024390244,0.01951219512195122,1.31,0.7422680412371134
11,Bagalakunte,14,50,0.46,0.4,0.06,0.0,1.26,0.8695652173913043
12,Banasavadi,27,171,0.39766081871345027,0.2573099415204678,0.011695906432748537,0.03508771929824561,1.12,0.6470588235294118
13,Banashankari Temple,180,11,0.36363636363636365,0.2727272727272727,0.0,0.0,0.82,0.7499999999999999
14,Bapuji Nagar,134,6,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0
15,Basavanagudi,154,57,0.45614035087719296,0.3333333333333333,0.017543859649122806,0.017543859649122806,0.96,0.7307692307692307
16,Basavanapura,53,158,0.5443037974683544,0.4177215189873418,0.006329113924050633,0.03164556962025317,1.37,0.7674418604651163
17,Basaveshwara Nagar,100,39,0.23076923076923078,0.1794871794871795,0.05128205128205128,0.0,0.67,0.7777777777777778
18,Begur,192,534,0.4850187265917603,0.28651685393258425,0.0056179775280898875,0.026217228464419477,1.27,0.5907335907335907
19,Bellanduru,150,727,0.5749656121045392,0.4442916093535076,0.024759284731774415,0.03163686382393398,1.72,0.7727272727272727
20,Benniganahalli,50,73,0.6301369863013698,0.4520547945205479,0.0273972602739726,0.0,1.44,0.717391304347826
21,Bharathi Nagar,91,44,0.4090909090909091,0.29545454545454547,0.0,0.0,0.82,0.7222222222222222
22,Bilekahalli,188,236,0.4703389830508475,0.2754237288135593,0.025423728813559324,0.012711864406779662,1.21,0.5855855855855855
23,Binnipet,121,14,0.14285714285714285,0.07142857142857142,0.0,0.0,0.57,0.5
24,Bommanahalli,175,55,0.41818181818181815,0.2545454545454545,0.01818181818181818,0.01818181818181818,1.22,0.608695652173913
25,Byatarayanapura,7,173,0.3699421965317919,0.2543352601156069,0.005780346820809248,0.017341040462427744,1.04,0.6875
26,Byrasandra,169,48,0.4375,0.2916666666666667,0.08333333333333333,0.0,0.73,0.6666666666666667
27,C V Raman Nagar,57,147,0.46938775510204084,0.3129251700680272,0.02040816326530612,0.07482993197278912,1.18,0.6666666666666666
28,Chamrajapet,140,20,0.55,0.25,0.2,0.0,1.1,0.45454545454545453
29,Chickpet,109,74,0.4189189189189189,0.32432432432432434,0.0,0.04054054054054054,0.96,0.7741935483870969
30,Chikallasandra,183,63,0.2857142857142857,0.2222222222222222,0.0,0.0,0.78,0.7777777777777778
31,Chokkasandra,39,12,0.5,0.4166666666666667,0.08333333333333333,0.0,1.17,0.8333333333333334
32,Chowdeshwari,2,11,0.18181818181818182,0.09090909090909091,0.0,0.0,0.73,0.5
33,Cottonpete,120,29,0.13793103448275862,0.06896551724137931,0.0,0.0,0.52,0.5
34,Dattatreya Temple,77,29,0.1724137931034483,0.13793103448275862,0.034482758620689655,0.0,0.31,0.7999999999999999
35,Dayananda Nagar,97,9,0.2222222222222222,0.2222222222222222,0.0,0.0,1.22,1.0
36,Deepanjali Nagar,158,25,0.6,0.28,0.04,0.0,0.96,0.46666666666666673
37,Devara Jeevanahalli,47,17,0.17647058823529413,0.11764705882352941,0.0,0.0,0.53,0.6666666666666666
38,Devasandra,55,34,0.5294117647058824,0.3235294117647059,0.029411764705882353,0.08823529411764706,1.44,0.6111111111111112
39,Dharmaraya Swamy Temple,119,55,0.4,0.2909090909090909,0.01818181818181818,0.0,1.11,0.7272727272727272
40,Dodda Bidarakallu,40,49,0.20408163265306123,0.02040816326530612,0.0,0.02040816326530612,0.45,0.09999999999999999
41,Dodda Bommasandra,10,45,0.37777777777777777,0.2,0.0,0.0,0.87,0.5294117647058824
42,Dodda Nekkundi,85,349,0.49283667621776506,0.35816618911174786,0.017191977077363897,0.022922636103151862,1.4,0.7267441860465116
43,Domlur,112,63,0.1746031746031746,0.14285714285714285,0.0,0.0,0.43,0.8181818181818182
44,Dr Raj Kumar,106,35,0.37142857142857144,0.2571428571428571,0.02857142857142857,0.0,0.91,0.6923076923076922
45,Ejipura,148,91,0.4725274725274725,0.34065934065934067,0.03296703296703297,0.01098901098901099,1.1,0.7209302325581396
46,Gali Anjaneya Temple,157,20,0.2,0.05,0.0,0.0,0.3,0.25
47,Gandhi Nagar,94,64,0.359375,0.203125,0.0625,0.0,0.67,0.5652173913043478
48,Ganesh Mandir,165,38,0.4473684210526316,0.34210526315789475,0.05263157894736842,0.0,1.42,0.7647058823529412
49,Ganga Nagar,20,26,0.2692307692307692,0.23076923076923078,0.0,0.0,0.77,0.8571428571428572
50,Gangenahalli,34,19,0.2631578947368421,0.2631578947368421,0.0,0.0,0.63,1.0
51,Garudachar Palya,82,87,0.41379310344827586,0.26436781609195403,0.05747126436781609,0.022988505747126436,1.3,0.638888888888889
52,Gayathri Nagar,76,42,0.5,0.40476190476190477,0.047619047619047616,0.0,0.83,0.8095238095238095
53,Girinagar,162,94,0.4148936170212766,0.2872340425531915,0.0425531914893617,0.0,0.85,0.6923076923076924
54,Gottigere,194,123,0.43089430894308944,0.2764227642276423,0.0,0.04878048780487805,1.43,0.6415094339622641
55,Govindaraja Nagar,104,45,0.4444444444444444,0.4,0.022222222222222223,0.022222222222222223,1.22,0.9000000000000001
56,Gurappanpalya,171,29,0.8620689655172413,0.8275862068965517,0.0,0.034482758620689655,1.86,0.9600000000000001
57,HAL Airport,87,66,0.5909090909090909,0.5,0.0,0.015151515151515152,1.32,0.8461538461538461
58,HBR Layout,24,175,0.4057142857142857,0.2342857142857143,0.017142857142857144,0.02857142857142857,1.15,0.5774647887323944
59,HMT,38,47,0.3191489361702128,0.10638297872340426,0.0851063829787234,0.0,1.11,0.3333333333333333
60,HSR Layout,174,292,0.5171232876712328,0.3801369863013699,0.0273972602739726,0.0273972602739726,1.34,0.7350993377483445
61,Hagadur,84,237,0.4388185654008439,0.23628691983122363,0.029535864978902954,0.02109704641350211,1.03,0.5384615384615384
62,Hampi Nagar,133,27,0.4074074074074074,0.2222222222222222,0.07407407407407407,0.0,0.78,0.5454545454545454
63,Hanumantha Nagar,155,29,0.4482758620689655,0.3448275862068966,0.0,0.0,0.79,0.7692307692307693
64,Hebbal,21,49,0.6122448979591837,0.2653061224489796,0.0,0.02040816326530612,4.06,0.43333333333333335
65,Heggenahali,71,10,0.5,0.2,0.1,0.0,1.1,0.4
66,Hemmigepura,198,134,0.3283582089552239,0.19402985074626866,0.0,0.007462686567164179,0.77,0.5909090909090909
67,Herohalli,72,34,0.3235294117647059,0.14705882352941177,0.058823529411764705,0.0,0.85,0.45454545454545453
68,Hombegowda Nagar,145,51,0.45098039215686275,0.27450980392156865,0.0196078431372549,0.058823529411764705,1.04,0.6086956521739131
69,Hongasandra,189,74,0.5540540540540541,0.32432432432432434,0.02702702702702703,0.0,1.41,0.5853658536585367
70,Hoodi,54,254,0.5078740157480315,0.3779527559055118,0.003937007874015748,0.05905511811023622,1.59,0.7441860465116279
71,Horamavu,25,506,0.4268774703557312,0.25691699604743085,0.0,0.017786561264822136,1.19,0.601851851851852
72,Hosahalli,124,18,0.2777777777777778,0.2777777777777778,0.0,0.0,1.17,1.0
73,Hosakerehalli,161,35,0.45714285714285713,0.37142857142857144,0.0,0.0,1.2,0.8125
74,Hoysala Nagar,80,164,0.35365853658536583,0.21341463414634146,0.006097560975609756,0.024390243902439025,1.13,0.603448275862069
75,J P Park,17,51,0.47058823529411764,0.27450980392156865,0.0196078431372549,0.0,0.98,0.5833333333333334
76,JP Nagar,177,87,0.3793103448275862,0.25287356321839083,0.04597701149425287,0.011494252873563218,1.02,0.6666666666666667
77,Jagajivanaramnagar,136,10,0.3,0.3,0.0,0.0,0.5,1.0
78,Jakkasandra,173,65,0.4153846153846154,0.27692307692307694,0.03076923076923077,0.015384615384615385,1.0,0.6666666666666666
79,Jakkuru,5,165,0.5272727272727272,0.24242424242424243,0.012121212121212121,0.006060606060606061,1.12,0.4597701149425288
80,Jalahalli,16,43,0.3023255813953488,0.2558139534883721,0.023255813953488372,0.0,1.09,0.8461538461538463
81,Jaraganahalli,186,38,0.4473684210526316,0.2631578947368421,0.02631578947368421,0.07894736842105263,2.95,0.588235294117647
82,Jayachamarajendra Nagar,46,27,0.3333333333333333,0.25925925925925924,0.0,0.0,1.0,0.7777777777777778
83,Jayamahal,63,42,0.3333333333333333,0.09523809523809523,0.023809523809523808,0.023809523809523808,1.07,0.2857142857142857
84,Jayanagar,153,43,0.4883720930232558,0.37209302325581395,0.046511627906976744,0.0,0.88,0.761904761904762
85,Jayanagar East,170,46,0.4782608695652174,0.3695652173913043,0.021739130434782608,0.021739130434782608,0.83,0.7727272727272727
86,Jeevanbhima Nagar,88,81,0.43209876543209874,0.2962962962962963,0.0,0.024691358024691357,0.96,0.6857142857142857
87,Jnana Bharathi,129,121,0.35537190082644626,0.2644628099173554,0.01652892561983471,0.008264462809917356,0.95,0.744186046511628
88,Jogupalya,89,56,0.375,0.25,0.03571428571428571,0.03571428571428571,1.12,0.6666666666666666
89,K R Market,139,32,0.78125,0.5625,0.09375,0.03125,1.66,0.72
90,K R Puram,52,68,0.47058823529411764,0.3382352941176471,0.058823529411764705,0.058823529411764705,1.4,0.71875
91,Kacharkanahalli,29,65,0.47692307692307695,0.38461538461538464,0.015384615384615385,0.0,0.98,0.8064516129032258
92,Kadu Malleshwara,65,72,0.375,0.25,0.05555555555555555,0.013888888888888888,0.69,0.6666666666666666
93,Kadugodi,83,180,0.5333333333333333,0.3333333333333333,0.016666666666666666,0.03888888888888889,1.9,0.625
94,Kadugondanahalli,30,5,0.6,0.6,0.0,0.0,1.6,1.0
95,Kamakshipalya,101,13,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.0,1.54,0.8333333333333334
96,Kammanahalli,28,39,0.41025641025641024,0.3333333333333333,0.02564102564102564,0.0,1.15,0.8125
97,Karisandra,166,34,0.4411764705882353,0.29411764705882354,0.0,0.029411764705882353,1.29,0.6666666666666667
98,Katriguppe,163,32,0.28125,0.25,0.0,0.0,0.62,0.8888888888888888
99,Kaval Bairasandra,32,89,0.34831460674157305,0.25842696629213485,0.0,0.0,1.01,0.7419354838709677
100,Kaveripura,103,25,0.48,0.32,0.0,0.04,1.72,0.6666666666666667
101,Kempapura Agrahara,122,3,0.0,0.0,0.0,0.0,0.0,
102,Kempegowda,1,39,0.6153846153846154,0.5128205128205128,0.0,0.02564102564102564,1.97,0.8333333333333333
103,Kengeri,159,36,0.4722222222222222,0.3888888888888889,0.0,0.0,0.72,0.823529411764706
104,Kodigehalli,8,101,0.4158415841584158,0.25742574257425743,0.0,0.0594059405940594,0.98,0.6190476190476191
105,Konankunte,195,100,0.43,0.29,0.03,0.03,1.09,0.6744186046511628
106,Konena Agrahara,113,125,0.496,0.304,0.0,0.024,1.21,0.6129032258064516
107,Koramangala,151,188,0.46808510638297873,0.35106382978723405,0.02127659574468085,0.015957446808510637,1.14,0.75
108,Kottigepalya,73,103,0.5048543689320388,0.2621359223300971,0.038834951456310676,0.009708737864077669,1.17,0.5192307692307693
109,Kumaraswamy Layout,181,69,0.4927536231884058,0.3333333333333333,0.043478260869565216,0.014492753623188406,1.12,0.676470588235294
110,Kushal Nagar,31,16,0.1875,0.125,0.0,0.0,0.69,0.6666666666666666
111,Kuvempu Nagar,11,56,0.2857142857142857,0.23214285714285715,0.0,0.0,0.7,0.8125000000000001
112,Laggere,69,28,0.5,0.42857142857142855,0.03571428571428571,0.0,1.82,0.8571428571428571
113,Lakkasandra,146,22,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.045454545454545456,1.41,0.6666666666666667
114,Lakshmi Devi Nagar,42,23,0.4782608695652174,0.34782608695652173,0.0,0.043478260869565216,1.48,0.7272727272727272
115,Lingarajapura,49,40,0.525,0.325,0.05,0.0,1.4,0.6190476190476191
116,Madivala,172,59,0.576271186440678,0.3728813559322034,0.01694915254237288,0.05084745762711865,1.53,0.6470588235294118
117,Mahalakshimpuram,68,21,0.5714285714285714,0.19047619047619047,0.14285714285714285,0.09523809523809523,1.71,0.3333333333333333
118,Mallassandra,13,18,0.5,0.2222222222222222,0.2777777777777778,0.0,0.94,0.4444444444444444
119,Malleswaram,45,51,0.37254901960784315,0.23529411764705882,0.058823529411764705,0.0392156862745098,1.0,0.631578947368421
120,Mangamannapalya,190,133,0.5864661654135338,0.40601503759398494,0.007518796992481203,0.03007518796992481,1.71,0.6923076923076923
121,Manorayanapalya,33,52,0.3076923076923077,0.25,0.038461538461538464,0.0,1.06,0.8125
122,Marappana Palya,44,28,0.6428571428571429,0.21428571428571427,0.0,0.0,3.04,0.3333333333333333
123,Marathahalli,86,94,0.40425531914893614,0.2978723404255319,0.02127659574468085,0.010638297872340425,1.06,0.7368421052631579
124,Marenahalli,125,33,0.48484848484848486,0.30303030303030304,0.0,0.09090909090909091,1.88,0.625
125,Maruthi Mandira,126,22,0.7272727272727273,0.4090909090909091,0.0,0.0,1.5,0.5625
126,Maruthi Seva Nagar,59,77,0.4935064935064935,0.36363636363636365,0.03896103896103896,0.012987012987012988,1.38,0.736842105263158
127,Mattikere,36,21,0.7142857142857143,0.7142857142857143,0.0,0.0,1.62,1.0
128,Mudalapalya,127,10,0.6,0.3,0.1,0.0,1.5,0.5
129,Muneshwara Nagar,48,16,0.3125,0.1875,0.0,0.0,0.75,0.6
130,Nagapura,67,68,0.6176470588235294,0.36764705882352944,0.014705882352941176,0.0,2.5,0.5952380952380952
131,Nagarabhavi,128,30,0.5333333333333333,0.4666666666666667,0.0,0.03333333333333333,1.73,0.875
132,Nagavara,23,33,0.48484848484848486,0.3333333333333333,0.030303030303030304,0.030303030303030304,1.33,0.6874999999999999
133,Nandini Layout,43,14,0.5,0.35714285714285715,0.14285714285714285,0.0,1.36,0.7142857142857143
134,Nayandahalli,131,25,0.56,0.44,0.0,0.0,2.36,0.7857142857142857
135,Neelasandra,116,11,0.09090909090909091,0.09090909090909091,0.0,0.0,0.27,1.0
136,New Tippasandra,58,112,0.44642857142857145,0.26785714285714285,0.03571428571428571,0.017857142857142856,1.33,0.6
137,Okalipuram,96,16,0.375,0.1875,0.0625,0.0625,0.81,0.5
138,Other,199,637,0.4474097331240188,0.3783359497645212,0.01726844583987441,0.03610675039246468,0.88,0.8456140350877193
139,Padarayanapura,135,2,0.5,0.5,0.0,0.0,1.0,1.0
140,Padmanabha Nagar,182,75,0.4,0.32,0.04,0.013333333333333334,1.05,0.7999999999999999
141,Pattabhiram Nagar,168,90,0.5555555555555556,0.43333333333333335,0.05555555555555555,0.03333333333333333,1.54,0.78
142,Peenya Industrial Area,41,17,0.29411764705882354,0.29411764705882354,0.0,0.0,0.76,1.0
143,Prakash Nagar,98,26,0.34615384615384615,0.19230769230769232,0.0,0.0,0.69,0.5555555555555556
144,Pulikeshinagar,78,90,0.5555555555555556,0.4222222222222222,0.022222222222222223,0.0,2.07,0.76
145,Puttenahalli,187,144,0.5,0.3541666666666667,0.034722222222222224,0.006944444444444444,2.0,0.7083333333333334
146,Radhakrishna Temple,18,66,0.42424242424242425,0.3181818181818182,0.015151515151515152,0.015151515151515152,1.15,0.75
147,Rajagopalanagar,70,14,0.42857142857142855,0.2857142857142857,0.0,0.0,0.86,0.6666666666666666
148,Rajaji Nagar,99,29,0.4482758620689655,0.3448275862068966,0.034482758620689655,0.0,0.86,0.7692307692307693
149,Rajamahal Guttahalli,64,22,0.36363636363636365,0.2727272727272727,0.045454545454545456,0.0,0.91,0.7499999999999999
150,Rajarajeshwari Nagar,160,222,0.45495495495495497,0.32432432432432434,0.018018018018018018,0.009009009009009009,0.89,0.7128712871287128
151,Ramamurthy Nagar,26,255,0.5215686274509804,0.30196078431372547,0.01568627450980392,0.03137254901960784,1.4,0.5789473684210525
152,Ramaswamy Palya,62,18,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.5,0.5
153,Rayapuram,137,5,0.2,0.2,0.0,0.0,0.8,1.0
154,S K Garden,61,26,0.34615384615384615,0.07692307692307693,0.038461538461538464,0.0,0.54,0.22222222222222224
155,Sagayarapuram,60,47,0.14893617021276595,0.0851063829787234,0.0425531914893617,0.0,0.23,0.5714285714285714
156,Sampangiram Nagar,110,177,0.24858757062146894,0.1638418079096045,0.01694915254237288,0.01694915254237288,0.72,0.6590909090909091
157,Sanjay Nagar,19,42,0.38095238095238093,0.2857142857142857,0.0,0.023809523809523808,0.98,0.75
158,Sarakki,178,71,0.43661971830985913,0.28169014084507044,0.014084507042253521,0.04225352112676056,1.15,0.6451612903225807
159,Sarvagna Nagar,79,41,0.36585365853658536,0.24390243902439024,0.0,0.0,1.02,0.6666666666666666
160,Shakambari Nagar,179,63,0.3333333333333333,0.19047619047619047,0.06349206349206349,0.0,0.87,0.5714285714285714
161,Shakthi Ganapathi Nagar,74,7,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,2.14,0.5
162,Shankar Matt,75,18,0.4444444444444444,0.3333333333333333,0.0,0.0,2.78,0.75
163,Shantala Nagar,111,201,0.44776119402985076,0.3383084577114428,0.01990049751243781,0.009950248756218905,1.82,0.7555555555555555
164,Shanthi Nagar,117,42,0.30952380952380953,0.14285714285714285,0.023809523809523808,0.023809523809523808,0.52,0.4615384615384615
165,Shettihalli,12,78,0.358974358974359,0.2692307692307692,0.01282051282051282,0.01282051282051282,1.1,0.75
166,Shivaji Nagar,92,14,0.5,0.42857142857142855,0.0,0.0,1.86,0.8571428571428571
167,Shivanagar,107,19,0.3684210526315789,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.89,0.42857142857142855
168,Siddapura,144,10,0.5,0.2,0.1,0.0,0.9,0.4
169,Singasandra,191,279,0.46236559139784944,0.34050179211469533,0.014336917562724014,0.021505376344086023,1.46,0.7364341085271318
170,Srinagar,156,29,0.3103448275862069,0.20689655172413793,0.06896551724137931,0.034482758620689655,0.76,0.6666666666666666
171,Sriramamandira,108,35,0.42857142857142855,0.2571428571428571,0.05714285714285714,0.0,1.0,0.6
172,Subhash Nagar,95,34,0.29411764705882354,0.2647058823529412,0.0,0.0,0.79,0.9
173,Subramanya Nagar,66,30,0.5,0.3333333333333333,0.03333333333333333,0.03333333333333333,1.37,0.6666666666666666
174,Suddagunte Palya,152,44,0.5909090909090909,0.4772727272727273,0.022727272727272728,0.022727272727272728,1.41,0.8076923076923077
175,Sudham Nagara,118,33,0.45454545454545453,0.21212121212121213,0.06060606060606061,0.030303030303030304,1.03,0.4666666666666667
176,Sunkenahalli,142,61,0.4918032786885246,0.3770491803278688,0.04918032786885246,0.03278688524590164,1.03,0.7666666666666666
177,T Dasarahalli,15,13,0.46153846153846156,0.46153846153846156,0.0,0.0,1.15,1.0
178,Thanisandra,6,365,0.5150684931506849,0.2191780821917808,0.0136986301369863,0.01643835616438356,1.46,0.425531914893617
179,Ullalu,130,98,0.336734693877551,0.19387755102040816,0.01020408163265306,0.030612244897959183,0.8,0.5757575757575758
180,Ulsoor,90,82,0.3902439024390244,0.2682926829268293,0.024390243902439025,0.0,0.99,0.6875
181,Uttarahalli,184,254,0.5039370078740157,0.39763779527559057,0.027559055118110236,0.007874015748031496,0.95,0.7890625
182,Vannarpet,115,25,0.4,0.32,0.04,0.0,1.08,0.7999999999999999
183,Varthur,149,324,0.49382716049382713,0.26851851851851855,0.015432098765432098,0.027777777777777776,1.36,0.5437500000000001
184,Vasanth Nagar,93,216,0.4027777777777778,0.3055555555555556,0.009259259259259259,0.004629629629629629,3.75,0.7586206896551725
185,Vasanthapura,197,166,0.46987951807228917,0.29518072289156627,0.006024096385542169,0.018072289156626505,1.6,0.6282051282051282
186,Vidya Peeta,164,42,0.5,0.38095238095238093,0.07142857142857142,0.0,1.0,0.7619047619047619
187,Vidyaranyapura,9,104,0.3076923076923077,0.2692307692307692,0.009615384615384616,0.019230769230769232,0.78,0.8749999999999999
188,Vijayanagar,123,34,0.3235294117647059,0.20588235294117646,0.029411764705882353,0.0,0.68,0.6363636363636364
189,Vijnana Nagar,81,177,0.5254237288135594,0.384180790960452,0.011299435028248588,0.05084745762711865,1.81,0.7311827956989247
190,Vijnanapura,51,42,0.2619047619047619,0.14285714285714285,0.023809523809523808,0.047619047619047616,1.0,0.5454545454545454
191,Vishveshwarapura,143,49,0.46938775510204084,0.2653061224489796,0.02040816326530612,0.0,0.84,0.5652173913043478
192,Vishwanath Nagenahalli,22,66,0.42424242424242425,0.3484848484848485,0.0,0.0,1.17,0.8214285714285715
193,Vrushabhavathi Nagar,102,17,0.4117647058823529,0.4117647058823529,0.0,0.0,0.65,1.0
194,Yediyur,167,48,0.3958333333333333,0.20833333333333334,0.0625,0.0,0.94,0.5263157894736843
195,Yelahanka Satellite Town,4,51,0.5882352941176471,0.47058823529411764,0.0196078431372549,0.0196078431372549,1.27,0.7999999999999999
196,Yelchenahalli,185,72,0.4166666666666667,0.25,0.0,0.027777777777777776,0.94,0.6
197,Yeshwanthpura,37,5,0.2,0.2,0.0,0.0,0.4,1.0
